sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),class
5.442064,2.6047137,4.384099,1.24934,1
5.4180307,2.5756285,4.323712,1.236283,1
5.35942,2.5841222,4.191499,1.1931894,1
5.3931375,2.6301653,4.2337947,1.2069589,1
5.386138,2.575886,4.271369,1.2236582,1
5.4470253,2.5838456,4.3953047,1.2542174,1
5.2906857,2.554439,3.9500148,1.1027228,1
5.453571,2.64316,4.275347,1.2397901,1
5.395908,2.547708,4.326582,1.2359164,1
5.4541383,2.6263907,4.387368,1.2577298,1
5.383328,2.5525885,4.2225795,1.2009592,1
5.793282,2.6189818,5.5334363,1.7195376,2
5.7818646,2.624388,5.4080296,1.6790019,2
5.849396,2.603122,5.653587,1.8273412,2
5.9309373,2.62718,5.8522162,1.8344879,2
5.974732,2.5873141,6.069119,1.8834112,2
5.891299,2.635258,5.684664,1.8055542,2
5.835807,2.6459167,5.607495,1.724348,2
5.854682,2.5834997,5.8155384,1.8283252,2
5.8401084,2.6015353,5.712016,1.8093854,2
5.967226,2.6863112,5.8351793,1.7929776,2
5.930266,2.6312594,5.911452,1.8602058,2
5.905686,2.6559353,5.672552,1.7597895,2
5.7858434,2.586124,5.451943,1.6590426,2
5.978302,2.6759663,5.9269953,1.8640307,2
5.9748774,2.672862,5.937308,1.8551222,2
5.888908,2.6334329,5.7195897,1.7432951,2
5.8140798,2.5691898,5.676828,1.7647811,2
5.888876,2.68302,5.692799,1.7801766,2
5.9789834,2.6746168,5.881122,1.8721131,2
5.8821216,2.6416094,5.7147555,1.7643871,2
5.8725486,2.6596646,5.6809616,1.7458905,2
5.8009167,2.6094866,5.5331,1.7139237,2
5.890543,2.6745992,5.6473055,1.7583967,2
5.947667,2.6699076,5.81162,1.8561223,2
5.913536,2.61346,5.7920446,1.8638607,2
5.895372,2.6242247,5.723583,1.7315645,2
5.967587,2.63247,6.021249,1.8839748,2
5.871932,2.614549,5.7465153,1.8350849,2
5.8575463,2.6382797,5.6779985,1.7489188,2
5.9544606,2.690362,5.835322,1.8050337,2
5.8076887,2.6182148,5.461923,1.6947993,2
5.9882455,2.7056725,5.8759665,1.8667755,2
6.0400248,2.6975832,6.0561614,1.911489,2
5.950983,2.586275,5.946572,1.8993447,2
5.8756714,2.6050844,5.7662926,1.8549821,2
5.9451456,2.6664095,5.869945,1.8433487,2
5.8621087,2.6354039,5.625644,1.7664247,2
5.785336,2.673674,5.3464813,1.6389425,2
5.9030104,2.6988103,5.5352187,1.7005408,2
5.9162602,2.6468263,5.724484,1.8498123,2
5.872962,2.5769172,5.809703,1.8231125,2
5.9544587,2.6881886,5.8016415,1.8234496,2
5.858466,2.5634189,5.7524447,1.8573506,2
5.9654884,2.6568947,5.811012,1.8348024,2
5.8487396,2.600814,5.663742,1.7551146,2
5.92083,2.6739883,5.706912,1.7758905,2
6.027194,2.6541913,6.0520587,1.9176286,2
5.8045125,2.5830848,5.5632625,1.7731602,2
5.960093,2.6636443,5.829994,1.8200063,2
5.9217086,2.5881548,5.8784437,1.8990245,2
